Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[1624, 2802, 4349]",8675,9600,925,19.698720269137997,,,1,800,5,40,5,50,7,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 418, 1068]",8475,10400,1925,1.6677831960842011,,,1,800,5,40,5,50,7,,1,4
partition_matroid_greedy,"[1624, 2802, 2609, 485]",10325,11200,875,13.314325337996705,,,1,800,5,40,5,50,7,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 2609, 485]",10325,11200,875,2.0457996949553494,,,1,800,5,40,5,50,7,,1,5
partition_matroid_greedy,"[1624, 2802]",7075,7200,125,9.825845364015551,,,1,800,5,40,5,50,7,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802]",7075,7200,125,1.628071997081861,,,1,800,5,40,5,50,7,,2,1
partition_matroid_greedy,"[1624, 2802, 4349, 418]",9975,11200,1225,9.492459696950393,,,1,800,5,40,5,50,7,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 418, 1562]",9675,10400,725,2.8860135569702834,,,1,800,5,40,5,50,7,,2,2
partition_matroid_greedy,"[1624, 2802, 2609, 3196, 4270, 4517]",11670,13600,1930,9.882026674924418,,,1,800,5,40,5,50,7,,2,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 2609, 3196, 4270, 4517]",11670,13600,1930,1.7330009520519525,,,1,800,5,40,5,50,7,,2,3
partition_matroid_greedy,"[1624, 2802, 3525, 94, 3234, 4270]",13195,14400,1205,18.81881572282873,,,1,800,5,40,5,50,7,,2,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 94, 3234, 4270]",13195,14400,1205,1.763296470977366,,,1,800,5,40,5,50,7,,2,4
