alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy,"{2951, 2826, 1039, 1812, 1050, 2458, 816, 2356, 3509, 1082, 574, 1598, 64, 2249, 2379, 4177, 1234, 2643, 3541, 3669, 3417, 2906, 3035, 1631, 485, 239, 4081, 3198}",20085,24800,4715,0.5815702260006219,,0.01,0.2,800,5,40,5,50,8,
distorted_greedy,"{4482, 387, 135, 2064, 4241, 4498, 1438, 2476, 2861, 1201, 1473, 336, 4177, 1234, 2643, 340, 85, 3668, 981, 4438, 4075, 1010, 1782, 1401, 2170}",25085,28000,2915,115.52757178095635,,,0.3,800,5,40,5,50,8,
cost_scaled_greedy,"{4482, 387, 135, 2064, 4241, 4498, 1438, 2476, 2861, 1201, 1473, 336, 4177, 1234, 340, 85, 3668, 981, 4075, 1010, 1782, 1401, 2170}",24685,26400,1715,103.06091102398932,,,0.3,800,5,40,5,50,8,
cost_scaled_lazy_exact_greedy,"{1473, 4482, 387, 135, 2064, 4241, 4498, 336, 4177, 1234, 340, 85, 3668, 981, 1438, 4075, 2476, 2861, 1201, 1010, 1782, 1401, 2170}",24685,26400,1715,0.023115810996387154,,,0.3,800,5,40,5,50,8,
unconstrained_linear,"{387, 4, 902, 7, 135, 9, 906, 12, 13, 1295, 149, 1178, 289, 39, 45, 1201, 179, 436, 55, 60, 1089, 708, 710, 328, 336, 592, 1234, 340, 216, 105, 107, 877, 239, 882}",25785,28800,3015,0.0699403960024938,,,0.3,800,5,40,5,50,8,
unconstrained_distorted_greedy,"{4482, 3985, 4258, 2729, 2476, 2861, 1710, 2227, 2228, 1975, 55, 3130, 3391, 74, 3668, 853, 3541, 340, 732, 4075, 2412, 4469, 1782, 1401, 3323}",18288,20800,2512,0.34839704004116356,,,0.3,800,5,40,5,50,8,
stochastic_distorted_greedy,"{2560, 4482, 387, 3985, 4241, 4258, 2729, 2476, 2861, 1710, 1201, 2227, 2228, 1975, 55, 3391, 1473, 336, 4177, 2643, 3668, 3541, 340, 981, 4438, 732, 1758, 4075, 2412, 4469, 1782, 1401, 3323}",24083,28000,3917,0.9375639939680696,,0.01,0.3,800,5,40,5,50,8,
distorted_greedy,"{3459, 1178, 2458, 1052, 2463, 543, 1447, 4136, 1450, 4396, 1327, 1980, 1598, 324, 1095, 586, 2894, 981, 4438, 2664, 1641, 3304, 3313, 753, 1522, 3956, 1397, 2037, 887, 2809, 1919}",29380,32800,3420,233.68689636001363,,,0.4,800,5,40,5,50,8,
cost_scaled_greedy,"{3459, 1944, 1178, 2458, 2463, 543, 1447, 4136, 1450, 4396, 1327, 1980, 324, 1095, 586, 981, 1752, 2664, 1641, 3304, 3313, 3956, 2037, 887, 2809}",27465,29600,2135,196.69997434900142,,,0.4,800,5,40,5,50,8,
cost_scaled_lazy_exact_greedy,"{3459, 324, 1095, 586, 981, 1944, 1752, 1178, 2458, 2463, 543, 1447, 4136, 2664, 1450, 1641, 4396, 3304, 1327, 3313, 3956, 2037, 887, 2809, 1980}",27465,29600,2135,0.027886950003448874,,,0.4,800,5,40,5,50,8,
unconstrained_linear,"{4, 6, 137, 266, 1417, 22, 278, 154, 1050, 1178, 1566, 543, 1055, 1314, 1447, 41, 300, 45, 686, 55, 318, 1470, 324, 69, 1095, 1096, 586, 334, 1618, 723, 217, 222, 236, 122, 764}",25554,30400,4846,0.10934970498783514,,,0.4,800,5,40,5,50,8,
unconstrained_distorted_greedy,"{3459, 2838, 2458, 1178, 924, 1052, 2463, 1447, 3368, 4396, 2861, 1464, 1980, 4030, 1470, 1598, 2499, 324, 1095, 3912, 4425, 4173, 2894, 2770, 723, 981, 2519, 3810, 486, 3304, 1641, 236, 2545, 3186, 3956, 628, 2809}",27360,31200,3840,0.674842856999021,,,0.4,800,5,40,5,50,8,
stochastic_distorted_greedy,"{3459, 2838, 2458, 1178, 924, 1052, 2463, 543, 1447, 3368, 4396, 2861, 1464, 1980, 1470, 4030, 1598, 2499, 324, 1095, 3912, 4425, 4173, 2894, 2770, 723, 981, 2519, 3810, 486, 3304, 1641, 236, 2545, 3186, 3956, 628, 2809}",28110,32000,3890,1.3026369280414656,,0.01,0.4,800,5,40,5,50,8,
